date,calendar_type,event_name,is_working_day
2014-07-01,Canada,Canada Day,1
2014-07-04,Company,Independence Day,0
2014-07-04,US,Independence Day,1
2014-08-04,Canada,Civic Holiday,1
2014-09-01,Canada,Labour Day,1
2014-09-01,Company,Labor Day,0
2014-09-01,US,Labor Day,1
2014-10-13,Canada,Canadian Thanksgiving,1
2014-11-27,Company,Thanksgiving,0
2014-11-27,US,Thanksgiving,1
2014-11-28,Company,Day after Thanksgiving,0
2014-11-28,US,Day after Thanksgiving,1
2014-12-25,Canada,Christmas Day,1
2014-12-25,Company,Christmas Day,0
2014-12-25,US,Christmas Day,1
2014-12-26,Canada,Boxing Day,1
2015-01-01,Canada,New Year's Day,1
2015-01-01,Company,New Year's Day,0
2015-01-01,US,New Year's Day,1
2015-01-19,US,MLK Day,1
2015-02-16,US,Presidents' Day,1
2015-04-03,Canada,Good Friday,1
2015-05-18,Canada,Victoria Day,1
2015-05-25,Company,Memorial Day,0
2015-05-25,US,Memorial Day,1
2015-07-01,Canada,Canada Day,1
2015-07-03,Company,Independence Day (Observed),0
2015-07-04,US,Independence Day,1
2015-08-03,Canada,Civic Holiday,1
2015-09-07,Canada,Labour Day,1
2015-09-07,Company,Labor Day,0
2015-09-07,US,Labor Day,1
2015-10-12,Canada,Canadian Thanksgiving,1
2015-11-26,Company,Thanksgiving,0
2015-11-26,US,Thanksgiving,1
2015-11-27,Company,Day after Thanksgiving,0
2015-11-27,US,Day after Thanksgiving,1
2015-12-25,Canada,Christmas Day,1
2015-12-25,Company,Christmas Day,0
2015-12-25,US,Christmas Day,1
2015-12-26,Canada,Boxing Day,1
2016-01-01,Canada,New Year's Day,1
2016-01-01,Company,New Year's Day,0
2016-01-01,US,New Year's Day,1
2016-01-18,US,MLK Day,1
2016-02-15,US,Presidents' Day,1
2016-03-25,Canada,Good Friday,1
2016-05-23,Canada,Victoria Day,1
2016-05-30,Company,Memorial Day,0
2016-05-30,US,Memorial Day,1
2016-07-01,Canada,Canada Day,1
2016-07-04,Company,Independence Day,0
2016-07-04,US,Independence Day,1
2016-08-01,Canada,Civic Holiday,1
2016-09-05,Canada,Labour Day,1
2016-09-05,Company,Labor Day,0
2016-09-05,US,Labor Day,1
2016-10-10,Canada,Canadian Thanksgiving,1
2016-11-24,Company,Thanksgiving,0
2016-11-24,US,Thanksgiving,1
2016-11-25,Company,Day after Thanksgiving,0
2016-11-25,US,Day after Thanksgiving,1
2016-12-25,Canada,Christmas Day,1
2016-12-25,US,Christmas Day,1
2016-12-26,Canada,Boxing Day,1
2016-12-26,Company,Christmas Day (Observed),0
2017-01-01,Canada,New Year's Day,1
2017-01-01,US,New Year's Day,1
2017-01-02,Company,New Year's Day (Observed),0
2017-01-16,US,MLK Day,1
2017-02-20,US,Presidents' Day,1
2017-04-14,Canada,Good Friday,1
2017-05-22,Canada,Victoria Day,1
2017-05-29,Company,Memorial Day,0
2017-05-29,US,Memorial Day,1
2017-07-01,Canada,Canada Day,1
2017-07-04,Company,Independence Day,0
2017-07-04,US,Independence Day,1
2017-08-07,Canada,Civic Holiday,1
2017-09-04,Canada,Labour Day,1
2017-09-04,Company,Labor Day,0
2017-09-04,US,Labor Day,1
2017-10-09,Canada,Canadian Thanksgiving,1
2017-11-23,Company,Thanksgiving,0
2017-11-23,US,Thanksgiving,1
2017-11-24,Company,Day after Thanksgiving,0
2017-11-24,US,Day after Thanksgiving,1
2017-12-25,Canada,Christmas Day,1
2017-12-25,Company,Christmas Day,0
2017-12-25,US,Christmas Day,1
2017-12-26,Canada,Boxing Day,1
2018-01-01,Canada,New Year's Day,1
2018-01-01,Company,New Year's Day,0
2018-01-01,US,New Year's Day,1
2018-01-15,US,MLK Day,1
2018-02-19,US,Presidents' Day,1
2018-03-30,Canada,Good Friday,1
2018-05-21,Canada,Victoria Day,1
2018-05-28,Company,Memorial Day,0
2018-05-28,US,Memorial Day,1
2018-07-01,Canada,Canada Day,1
2018-07-04,Company,Independence Day,0
2018-07-04,US,Independence Day,1
2018-08-06,Canada,Civic Holiday,1
2018-09-03,Canada,Labour Day,1
2018-09-03,Company,Labor Day,0
2018-09-03,US,Labor Day,1
2018-10-08,Canada,Canadian Thanksgiving,1
2018-11-22,Company,Thanksgiving,0
2018-11-22,US,Thanksgiving,1
2018-11-23,Company,Day after Thanksgiving,0
2018-11-23,US,Day after Thanksgiving,1
2018-12-25,Canada,Christmas Day,1
2018-12-25,Company,Christmas Day,0
2018-12-25,US,Christmas Day,1
2018-12-26,Canada,Boxing Day,1
2019-01-01,Canada,New Year's Day,1
2019-01-01,Company,New Year's Day,0
2019-01-01,US,New Year's Day,1
2019-01-21,US,MLK Day,1
2019-02-18,US,Presidents' Day,1
2019-04-19,Canada,Good Friday,1
2019-05-20,Canada,Victoria Day,1
2019-05-27,Company,Memorial Day,0
2019-05-27,US,Memorial Day,1
2019-07-01,Canada,Canada Day,1
2019-07-04,Company,Independence Day,0
2019-07-04,US,Independence Day,1
2019-08-05,Canada,Civic Holiday,1
2019-09-02,Canada,Labour Day,1
2019-09-02,Company,Labor Day,0
2019-09-02,US,Labor Day,1
2019-10-14,Canada,Canadian Thanksgiving,1
2019-11-28,Company,Thanksgiving,0
2019-11-28,US,Thanksgiving,1
2019-11-29,Company,Day after Thanksgiving,0
2019-11-29,US,Day after Thanksgiving,1
2019-12-25,Canada,Christmas Day,1
2019-12-25,Company,Christmas Day,0
2019-12-25,US,Christmas Day,1
2019-12-26,Canada,Boxing Day,1
2020-01-01,Canada,New Year's Day,1
2020-01-01,Company,New Year's Day,0
2020-01-01,US,New Year's Day,1
2020-01-20,US,MLK Day,1
2020-02-17,US,Presidents' Day,1
2020-04-10,Canada,Good Friday,1
2020-05-18,Canada,Victoria Day,1
2020-05-25,Company,Memorial Day,0
2020-05-25,US,Memorial Day,1
2020-07-01,Canada,Canada Day,1
2020-07-03,Company,Independence Day (Observed),0
2020-07-04,US,Independence Day,1
2020-08-03,Canada,Civic Holiday,1
2020-09-07,Canada,Labour Day,1
2020-09-07,Company,Labor Day,0
2020-09-07,US,Labor Day,1
2020-10-12,Canada,Canadian Thanksgiving,1
2020-11-26,Company,Thanksgiving,0
2020-11-26,US,Thanksgiving,1
2020-11-27,Company,Day after Thanksgiving,0
2020-11-27,US,Day after Thanksgiving,1
2020-12-25,Canada,Christmas Day,1
2020-12-25,Company,Christmas Day,0
2020-12-25,US,Christmas Day,1
2020-12-26,Canada,Boxing Day,1
2021-01-01,Canada,New Year's Day,1
2021-01-01,Company,New Year's Day,0
2021-01-01,US,New Year's Day,1
2021-01-18,US,MLK Day,1
2021-02-15,US,Presidents' Day,1
2021-04-02,Canada,Good Friday,1
2021-05-24,Canada,Victoria Day,1
2021-05-31,Company,Memorial Day,0
2021-05-31,US,Memorial Day,1
2021-06-19,US,Juneteenth,1
2021-07-01,Canada,Canada Day,1
2021-07-04,US,Independence Day,1
2021-07-05,Company,Independence Day (Observed),0
2021-08-02,Canada,Civic Holiday,1
2021-09-06,Canada,Labour Day,1
2021-09-06,Company,Labor Day,0
2021-09-06,US,Labor Day,1
2021-09-30,Canada,National Day for Truth and Reconciliation,1
2021-10-11,Canada,Canadian Thanksgiving,1
2021-11-25,Company,Thanksgiving,0
2021-11-25,US,Thanksgiving,1
2021-11-26,Company,Day after Thanksgiving,0
2021-11-26,US,Day after Thanksgiving,1
2021-12-24,Company,Christmas Day (Observed),0
2021-12-25,Canada,Christmas Day,1
2021-12-25,US,Christmas Day,1
2021-12-26,Canada,Boxing Day,1
2021-12-31,Company,New Year's Day (Observed),0
2022-01-01,Canada,New Year's Day,1
2022-01-01,US,New Year's Day,1
2022-01-17,US,MLK Day,1
2022-02-21,US,Presidents' Day,1
2022-04-15,Canada,Good Friday,1
2022-05-23,Canada,Victoria Day,1
2022-05-30,Company,Memorial Day,0
2022-05-30,US,Memorial Day,1
2022-06-19,US,Juneteenth,1
2022-07-01,Canada,Canada Day,1
2022-07-04,Company,Independence Day,0
2022-07-04,US,Independence Day,1
2022-08-01,Canada,Civic Holiday,1
2022-09-05,Canada,Labour Day,1
2022-09-05,Company,Labor Day,0
2022-09-05,US,Labor Day,1
2022-09-30,Canada,National Day for Truth and Reconciliation,1
2022-10-10,Canada,Canadian Thanksgiving,1
2022-11-24,Company,Thanksgiving,0
2022-11-24,US,Thanksgiving,1
2022-11-25,Company,Day after Thanksgiving,0
2022-11-25,US,Day after Thanksgiving,1
2022-12-25,Canada,Christmas Day,1
2022-12-25,US,Christmas Day,1
2022-12-26,Canada,Boxing Day,1
2022-12-26,Company,Christmas Day (Observed),0
2023-01-01,Canada,New Year's Day,1
2023-01-01,US,New Year's Day,1
2023-01-02,Company,New Year's Day (Observed),0
2023-01-16,US,MLK Day,1
2023-02-20,US,Presidents' Day,1
2023-04-07,Canada,Good Friday,1
2023-05-22,Canada,Victoria Day,1
2023-05-29,Company,Memorial Day,0
2023-05-29,US,Memorial Day,1
2023-06-19,US,Juneteenth,1
2023-07-01,Canada,Canada Day,1
2023-07-04,Company,Independence Day,0
2023-07-04,US,Independence Day,1
2023-08-07,Canada,Civic Holiday,1
2023-09-04,Canada,Labour Day,1
2023-09-04,Company,Labor Day,0
2023-09-04,US,Labor Day,1
2023-09-30,Canada,National Day for Truth and Reconciliation,1
2023-10-09,Canada,Canadian Thanksgiving,1
2023-11-23,Company,Thanksgiving,0
2023-11-23,US,Thanksgiving,1
2023-11-24,Company,Day after Thanksgiving,0
2023-11-24,US,Day after Thanksgiving,1
2023-12-25,Canada,Christmas Day,1
2023-12-25,Company,Christmas Day,0
2023-12-25,US,Christmas Day,1
2023-12-26,Canada,Boxing Day,1
2024-01-01,Canada,New Year's Day,1
2024-01-01,Company,New Year's Day,0
2024-01-01,US,New Year's Day,1
2024-01-15,US,MLK Day,1
2024-02-19,US,Presidents' Day,1
2024-03-29,Canada,Good Friday,1
2024-05-20,Canada,Victoria Day,1
2024-05-27,Company,Memorial Day,0
2024-05-27,US,Memorial Day,1
2024-06-19,US,Juneteenth,1
2024-07-01,Canada,Canada Day,1
2024-07-04,Company,Independence Day,0
2024-07-04,US,Independence Day,1
2024-08-05,Canada,Civic Holiday,1
2024-09-02,Canada,Labour Day,1
2024-09-02,Company,Labor Day,0
2024-09-02,US,Labor Day,1
2024-09-30,Canada,National Day for Truth and Reconciliation,1
2024-10-14,Canada,Canadian Thanksgiving,1
2024-11-28,Company,Thanksgiving,0
2024-11-28,US,Thanksgiving,1
2024-11-29,Company,Day after Thanksgiving,0
2024-11-29,US,Day after Thanksgiving,1
2024-12-25,Canada,Christmas Day,1
2024-12-25,Company,Christmas Day,0
2024-12-25,US,Christmas Day,1
2024-12-26,Canada,Boxing Day,1
2025-01-01,Canada,New Year's Day,1
2025-01-01,Company,New Year's Day,0
2025-01-01,US,New Year's Day,1
2025-01-20,US,MLK Day,1
2025-02-17,US,Presidents' Day,1
2025-04-18,Canada,Good Friday,1
2025-05-19,Canada,Victoria Day,1
2025-05-26,Company,Memorial Day,0
2025-05-26,US,Memorial Day,1
2025-06-19,US,Juneteenth,1
2025-07-01,Canada,Canada Day,1
2025-07-04,Company,Independence Day,0
2025-07-04,US,Independence Day,1
2025-08-04,Canada,Civic Holiday,1
2025-09-01,Canada,Labour Day,1
2025-09-01,Company,Labor Day,0
2025-09-01,US,Labor Day,1
2025-09-30,Canada,National Day for Truth and Reconciliation,1
2025-10-13,Canada,Canadian Thanksgiving,1
2025-11-27,Company,Thanksgiving,0
2025-11-27,US,Thanksgiving,1
2025-11-28,Company,Day after Thanksgiving,0
2025-11-28,US,Day after Thanksgiving,1
2025-12-25,Canada,Christmas Day,1
2025-12-25,Company,Christmas Day,0
